Month,Passengers
1958-03-01,383.0537756407691
1958-04-01,370.7457723643951
1958-05-01,370.59800729175714
1958-06-01,422.41128693552514
1958-07-01,466.3588215893635
1958-08-01,454.9291457451797
1958-09-01,400.36608478945044
1958-10-01,353.4700761057488
1958-11-01,315.4944943349538
1958-12-01,350.4404090466428
1959-01-01,354.5464789169706
1959-02-01,337.6713511880344
1959-03-01,392.5160513087502
1959-04-01,392.96877519801166
1959-05-01,403.5988810560255
1959-06-01,470.7416732710652
1959-07-01,518.5878025227319
1959-08-01,513.8235513705371
1959-09-01,452.77162813346695
1959-10-01,408.87153653385695
1959-11-01,364.16914209752036
1959-12-01,405.96854182762473
1960-01-01,416.98656011920355
1960-02-01,398.1589581822679
1960-03-01,460.6135111408634
1960-04-01,454.18183473139675
1960-05-01,474.3662596625909
1960-06-01,534.6244004365542
1960-07-01,598.5339966772779
1960-08-01,609.8812620209392
1960-09-01,519.9855625828282
1960-10-01,463.70995543234847
1960-11-01,415.2246169250262
1960-12-01,454.931112839
