index,sine
110,1.004996402707551
111,0.979903983677815
112,1.056075670313822
113,1.2918411312065885
114,1.1523348278946912
115,1.1101032120815777
116,1.3635975355948569
117,1.6254151142820494
118,1.964140568951212
119,2.035766299028957
120,2.116521153930547
121,2.598146950425133
122,2.5367110946840548
123,3.01143469848569
124,2.908895831957757
125,2.902650373892966
126,2.8906400694385024
127,3.0279288952304633
128,3.0194095908920406
129,2.7782505786209395
130,2.5996760747466006
131,2.691774988537094
132,2.5942883687996314
133,2.346636919918353
134,2.047749813403348
135,1.5947189191247957
136,1.617157135093512
137,1.504250991270803
138,1.22891020847079
139,1.10027560336286
140,0.9952777849546983
141,0.9727311505938889
142,0.987415558169781
143,0.9651984423151276
144,1.148070918621709
145,1.3513234013201814
146,1.6883776796676742
147,1.8836853549227044
148,1.920745736307714
149,1.9829318820503952
