index,sine
110,1.1295453938854627
111,1.1338616995197763
112,1.070436198117692
113,1.1341399245269472
114,1.042726215325646
115,1.195562680464895
116,1.3531864276102563
117,1.530825364418163
118,1.7232318753000406
119,1.951954696932431
120,2.14651921792787
121,2.3495092529919677
122,2.429609311892653
123,2.7989230903190765
124,3.000283414796884
125,2.9863433046689876
126,3.0319430008817734
127,2.918504670682001
128,2.812290958995524
129,2.7865658570892347
130,2.6635735252288373
131,2.6407030227043267
132,2.448222517890276
133,2.190964623707014
134,1.8790995752601565
135,1.6698330951846043
136,1.6127177486459987
137,1.5048413205674067
138,1.3751965649305635
139,1.1608992955488464
140,1.0662238175310548
141,0.9095366459545748
142,1.0613691982365299
143,0.9928564060475891
144,0.9871294764170968
145,1.200641129727835
146,1.4441175917271725
147,1.724118639642646
148,1.89413297019623
149,1.9164351869523215
