index,sine
0,0.0
1,0.20928640278329308
2,0.4093032540812346
3,0.5911915622135864
4,0.7468952709129846
5,0.8695180719384028
6,0.9536288510260056
7,0.9955022386015789
8,0.9932836109684284
9,0.9470712338657458
10,0.8589119101584899
11,0.7327103244279345
12,0.5740560997021644
13,0.3899762261960518
14,0.18862382729548938
15,-0.021082952277811522
16,-0.22985594203484364
17,-0.4284483301829309
18,-0.6080642162619563
19,-0.7607481923646019
20,-0.8797376979104871
21,-0.9597625417490859
22,-0.9972783253900808
23,-0.9906234287599799
24,-0.9400926053932797
25,-0.8479239274368838
26,-0.7181996586895456
27,-0.5566654461310062
28,-0.3704758381697845
29,-0.16787740091854048
30,0.042156532334098135
31,0.25032330106138717
32,0.4474029437436347
33,0.6246665612729076
34,0.7742629306011946
35,0.8895662450393441
36,0.9654695793623906
37,0.9986110817918139
38,0.987522874534379
39,0.9326960678900683
40,0.8365590083745086
41,0.7033697242732365
42,0.5390273323461356
43,0.35081075871040024
44,0.14705634627465203
45,-0.0632113721136636
46,-0.27067938129739383
47,-0.46615866867411143
48,-0.6409912168353262
49,-0.7874334777772339
50,-0.8989993441398727
51,-0.9707474268578167
52,-0.9994999153428735
53,-0.9839833266128722
54,-0.9248849094149693
55,-0.8248222051356751
56,-0.6882271136822208
57,-0.5211495991996016
58,-0.33098972973784463
59,-0.12616991916130607
60,0.08423811189212484
61,0.29091513364524246
62,0.48470716729913765
63,0.6570309259822459
64,0.8002539790539773
65,0.9080328018195519
66,0.9755937380195571
67,0.9999444309209432
68,0.980006358467086
69,0.9166626023425659
70,0.8127187352021894
71,0.6727785584168571
72,0.5030401940639224
73,0.31102156249790147
74,0.10522740443667046
75,-0.10522740443667278
76,-0.3110215624979037
77,-0.5030401940639244
78,-0.6727785584168587
79,-0.8127187352021896
80,-0.9166626023425661
81,-0.9800063584670865
82,-0.9999444309209432
83,-0.9755937380195574
84,-0.9080328018195517
85,-0.8002539790539748
86,-0.6570309259822441
87,-0.48470716729913405
88,-0.2909151336452385
89,-0.08423811189212074
90,0.12616991916130663
91,0.33098972973784685
92,0.521149599199602
93,0.6882271136822212
94,0.8248222051356744
95,0.9248849094149715
96,0.9839833266128726
97,0.9994999153428734
98,0.9707474268578157
99,0.8989993441398733
100,0.7874334777772325
101,0.6409912168353245
102,0.46615866867411254
103,0.2706793812973933
104,0.06321137211366482
105,-0.14705634627465786
106,-0.3508107587104024
107,-0.5390273323461376
108,-0.7033697242732407
109,-0.8365590083745098
110,-0.9326960678900685
111,-0.9875228745343794
112,-0.9986110817918139
113,-0.9654695793623904
114,-0.8895662450393427
115,-0.774262930601192
116,-0.6246665612729059
117,-0.4474029437436318
118,-0.2503233010613858
119,-0.04215653233409492
120,0.16787740091854453
121,0.37047583816978585
122,0.5566654461310067
123,0.7181996586895459
124,0.847923927436885
125,0.9400926053932811
126,0.99062342875998
127,0.9972783253900804
128,0.9597625417490857
129,0.8797376979104877
130,0.7607481923645992
131,0.6080642162619552
132,0.428448330182928
133,0.22985594203484266
134,0.021082952277812303
135,-0.18862382729549299
136,-0.38997622619605316
137,-0.5740560997021671
138,-0.7327103244279354
139,-0.8589119101584892
140,-0.9470712338657469
141,-0.9932836109684282
142,-0.9955022386015787
143,-0.9536288510260054
144,-0.8695180719384035
145,-0.7468952709129821
146,-0.591191562213585
147,-0.4093032540812318
148,-0.2092864027832922
149,-1.2246467991473533e-15
