Month,Passengers
1959-03-01,373.32064079909844
1959-04-01,369.1454223456377
1959-05-01,405.3288958686213
1959-06-01,467.16139566243976
1959-07-01,530.0927930514446
1959-08-01,552.7843446339429
1959-09-01,456.71033793699786
1959-10-01,398.7861279170795
1959-11-01,335.57752973146376
1959-12-01,375.4201714819334
1960-01-01,396.1952310701428
1960-02-01,394.69676543291416
1960-03-01,427.5135154700223
1960-04-01,425.0730472149736
1960-05-01,489.12635371615477
1960-06-01,508.49116111498995
1960-07-01,613.6460059684496
1960-08-01,609.0053380034258
1960-09-01,533.143878046828
1960-10-01,441.5020875005194
1960-11-01,423.5042245335226
1960-12-01,423.7119940082786
