Month,Passengers
1958-03-01,373.616553999462
1958-04-01,366.88617069130134
1958-05-01,380.618379256902
1958-06-01,448.9611133994172
1958-07-01,498.2553660718432
1958-08-01,504.8787424970827
1958-09-01,446.30548275295394
1958-10-01,353.15549215013846
1958-11-01,340.1203521269037
1958-12-01,352.6414885783808
1959-01-01,369.18337061245614
1959-02-01,345.52871984977196
1959-03-01,394.6180270595811
1959-04-01,385.1056200679571
1959-05-01,424.4426935262925
1959-06-01,483.68191939601166
1959-07-01,530.7114804386171
1959-08-01,554.6085942742043
1959-09-01,455.503996676641
1959-10-01,404.38543963918255
1959-11-01,359.85892178983784
1959-12-01,377.51909442354247
1960-01-01,406.6030623292652
1960-02-01,388.39002349982206
1960-03-01,429.30740625095035
1960-04-01,419.06083394736316
1960-05-01,474.04910784808027
1960-06-01,534.7204163087534
1960-07-01,617.7199614241175
1960-08-01,620.9936808143826
1960-09-01,521.6145422378667
1960-10-01,433.2517658575442
1960-11-01,402.7026468537835
1960-12-01,425.2571690717961
