Month,Passengers
1958-03-01,386.6880967271081
1958-04-01,375.7319530024344
1958-05-01,375.8931332903501
1958-06-01,432.36856160902965
1958-07-01,479.08287123186636
1958-08-01,472.09875088114234
1958-09-01,421.4703392145446
1958-10-01,362.20970405044744
1958-11-01,317.3643942167092
1958-12-01,353.5539683029598
1959-01-01,361.0758556373679
1959-02-01,339.8027103506818
1959-03-01,391.56901281617
1959-04-01,393.5010265716814
1959-05-01,404.8369208059819
1959-06-01,477.57346967060596
1959-07-01,531.4066220909765
1959-08-01,531.779442485711
1959-09-01,454.9238350774247
1959-10-01,411.473101487694
1959-11-01,358.5092864997724
1959-12-01,394.3115720517195
1960-01-01,417.19000756335225
1960-02-01,402.8475174445336
1960-03-01,449.9703549791743
1960-04-01,437.1867177285198
1960-05-01,464.3733920720232
1960-06-01,537.0203689200854
1960-07-01,601.9583960711806
1960-08-01,605.4186496419836
1960-09-01,510.31344628849325
1960-10-01,453.4404210960749
1960-11-01,405.78681757829855
1960-12-01,443.2205794551741
