Month,Passengers
1959-03-01,372.9959484144112
1959-04-01,368.634719850559
1959-05-01,405.0783936452532
1959-06-01,466.9785537006588
1959-07-01,530.0285879728425
1959-08-01,552.8110996944567
1959-09-01,456.77924606529217
1959-10-01,399.0852094360364
1959-11-01,335.64886285785053
1959-12-01,375.5658273712792
1960-01-01,396.15644398692353
1960-02-01,394.6065094638424
1960-03-01,427.48339526202875
1960-04-01,425.0471394950896
1960-05-01,489.10654235048696
1960-06-01,508.4824691935102
1960-07-01,613.8801944212842
1960-08-01,609.1651476724927
1960-09-01,533.4527164463912
1960-10-01,441.84943361177875
1960-11-01,423.6611707056649
1960-12-01,423.7517132053365
