Month,Passengers
1958-03-01,382.7816029762762
1958-04-01,366.16427994045284
1958-05-01,368.3241599735011
1958-06-01,436.50290264600335
1958-07-01,502.5696801371878
1958-08-01,497.24954104811917
1958-09-01,434.2210167327777
1958-10-01,340.3645981122546
1958-11-01,312.17003152972535
1958-12-01,338.3146934610949
1959-01-01,360.39464594188985
1959-02-01,321.04019265611544
1959-03-01,388.2309682549939
1959-04-01,377.85458611245303
1959-05-01,414.81082232056065
1959-06-01,497.5819797254183
1959-07-01,556.3250341332181
1959-08-01,563.8290699502953
1959-09-01,453.3742072444891
1959-10-01,422.98612386762187
1959-11-01,350.6015448277611
1959-12-01,373.5213757589171
1960-01-01,406.28219214537495
1960-02-01,382.8637541288863
1960-03-01,436.19495303580686
1960-04-01,409.25396856950886
1960-05-01,472.306513720006
1960-06-01,544.861632173554
1960-07-01,619.4255345263077
1960-08-01,623.3719556230546
1960-09-01,517.6721799421431
1960-10-01,413.08690386814976
1960-11-01,407.1589087607098
1960-12-01,424.1482641654803
