Month,Passengers
1959-03-01,366.08776038491095
1959-04-01,391.98719601010015
1959-05-01,414.3535243840427
1959-06-01,478.5890290064718
1959-07-01,538.561623813997
1959-08-01,555.7845941914799
1959-09-01,472.12722085414924
1959-10-01,398.61448488734885
1959-11-01,349.11148601560944
1959-12-01,375.13828602352606
1960-01-01,398.1143449088324
1960-02-01,391.0096869170274
1960-03-01,419.06196488405874
1960-04-01,430.6739389370573
1960-05-01,482.174260211101
1960-06-01,519.62669395151
1960-07-01,606.8775608318023
1960-08-01,614.3420623581429
1960-09-01,530.8903793663812
1960-10-01,447.7899692255714
1960-11-01,422.11021983867425
1960-12-01,424.0070340107743
