index,random_walk
110,0.45454545454546547
111,0.3727272587749796
112,0.3090909090909091
113,0.24545454545454545
114,0.21818181818181814
115,0.17272727272726152
116,0.13317280532118514
117,0.08790163454708314
118,0.0066581521040008345
119,-0.020701754323271305
120,-0.06607566138354974
121,-0.1114877793312702
122,-0.12091315081905615
123,-0.14823110766277262
124,-0.18181818181818182
125,-0.20909090909090905
126,-0.23636363636363641
127,-0.2636363636363635
128,-0.25454543988240386
129,-0.26363636363636384
130,-0.2727272727272726
131,-0.2818181818181818
132,-0.25454545455322086
133,-0.24545454545454545
134,-0.20000000000778553
135,-0.13636362168596722
136,-0.09090909090909095
137,-0.08181819646393645
138,-0.054545454545442545
139,-0.0272727272727272
140,0.03636365108433369
141,0.04545456005386931
142,0.10909090908292433
143,0.1545454545454544
144,0.19716857084302059
145,0.24266194556980059
146,0.2525967754319718
147,0.24477888469337714
148,0.2539191700342911
149,0.2629610000152082
