index,random_walk
110,1.4564172462084426
111,1.3799538085034213
112,1.3119702143408287
113,1.25457255932067
114,1.2231427322338764
115,1.182801816837273
116,1.1339726409860558
117,1.0734490952469649
118,1.0140512649605888
119,0.9854973353949503
120,0.9376517152723227
121,0.9030898348623957
122,0.8867123574028881
123,0.8501575431824975
124,0.8134413997663155
125,0.7914226742741195
126,0.7659033881740157
127,0.7408479690664769
128,0.7590404756407558
129,0.7264084522349101
130,0.7390532558427874
131,0.7226778663863667
132,0.7493868089432125
133,0.754754218182955
134,0.8129570675098641
135,0.8769329551503796
136,0.9302259926813835
137,0.9176594988993259
138,0.9381866288742715
139,0.973350764173358
140,1.0513467621730248
141,1.0466668693055854
142,1.1066739550019704
143,1.1586697022372658
144,1.1928979099518253
145,1.2370068424782257
146,1.2568974946601323
147,1.2479006935571153
148,1.2518264280536082
149,1.2598139137366031
