Month,Passengers
1958-03-01,390.9550516926429
1958-04-01,373.2229900975735
1958-05-01,372.26750170995047
1958-06-01,428.9363228794341
1958-07-01,468.2364167782455
1958-08-01,468.9555552870978
1958-09-01,412.1944376857455
1958-10-01,353.1485502071885
1958-11-01,315.34038505235503
1958-12-01,347.8941826123468
1959-01-01,353.2188697492336
1959-02-01,338.7337881758566
1959-03-01,390.2588636144539
1959-04-01,387.38259183153923
1959-05-01,408.04936838206925
1959-06-01,484.6606801950637
1959-07-01,532.3549079002746
1959-08-01,542.1274212449763
1959-09-01,448.147200529802
1959-10-01,406.3895286599086
1959-11-01,359.6340615007827
1959-12-01,391.0234893990851
1960-01-01,417.60716722674005
1960-02-01,400.394846383246
1960-03-01,459.44541911316094
1960-04-01,436.72953151780604
1960-05-01,464.34127189420195
1960-06-01,522.215872569357
1960-07-01,598.7396007939795
1960-08-01,612.7042062216194
1960-09-01,512.1002428950081
1960-10-01,454.9933413966418
1960-11-01,411.7483513455062
1960-12-01,445.8192696822227
