Month,Passengers
1959-03-01,372.9000121237745
1959-04-01,368.7054531465044
1959-05-01,405.06348139902894
1959-06-01,466.96397625926176
1959-07-01,530.0358864982632
1959-08-01,552.8588670516878
1959-09-01,456.7585547091154
1959-10-01,399.0329043847648
1959-11-01,335.6712371582807
1959-12-01,375.5802923877592
1960-01-01,396.1342520738104
1960-02-01,394.5803893105591
1960-03-01,427.50392854194814
1960-04-01,425.05661083475206
1960-05-01,489.11345029708013
1960-06-01,508.5989322164316
1960-07-01,613.881525446597
1960-08-01,609.195920019862
1960-09-01,533.4751580822679
1960-10-01,441.90585605313447
1960-11-01,423.71054096948404
1960-12-01,423.70710133806006
