Month,Passengers
1958-03-01,376.7926617463583
1958-04-01,379.0569497795389
1958-05-01,391.92656213556387
1958-06-01,456.9992141303822
1958-07-01,508.51298007028726
1958-08-01,514.0408873905943
1958-09-01,465.0573442759802
1958-10-01,368.6233243097648
1958-11-01,348.2002492414337
1958-12-01,348.7974288117567
1959-01-01,371.716774589825
1959-02-01,346.2245513020197
1959-03-01,379.2387514314685
1959-04-01,377.1969734220711
1959-05-01,410.9592250304511
1959-06-01,472.26897052116635
1959-07-01,533.3294444663871
1959-08-01,555.6784751983598
1959-09-01,462.0083035029091
1959-10-01,401.9282327172183
1959-11-01,339.6811962768315
1959-12-01,375.4652480124762
1960-01-01,395.61225455298796
1960-02-01,393.3432585528445
1960-03-01,424.7705126759898
1960-04-01,424.0070564572262
1960-05-01,486.3562070440807
1960-06-01,507.95923500306253
1960-07-01,610.5261681918089
1960-08-01,608.7889900795221
1960-09-01,531.4917544812158
1960-10-01,440.59927304400867
1960-11-01,421.67487714497605
1960-12-01,422.7972846381317
